train_loss,train_accuracy,best_val_loss,best_val_accuracy,test_loss,test_accuracy,best_epoch,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/out_size,config/lr,config/batch_size,config/fp_size,logdir
0.205412804633379,0.895,0.4676041889649171,0.815,1.0263652467857236,0.7598870056497176,10,1714468421,,,True,100,e3b57_00001,2024-04-30_18-13-41,0.0779271125793457,11.758810043334961,124658,V100,10.20.36.87,11.758810043334961,100,8,0.01,16,512,e3b57_00001
0.007571725226007402,0.9975,0.4514961391687393,0.81,1.0890737200776737,0.7824858757062146,7,1714468419,,,True,100,e3b57_00027,2024-04-30_18-13-39,0.06026506423950195,9.545123100280762,125291,V100,10.20.36.87,9.545123100280762,100,256,0.001,32,256,e3b57_00027
0.08875416778028011,0.965,0.5210742375680378,0.79,1.8172578277687232,0.748587570621469,3,1714468418,,,True,100,e3b57_00047,2024-04-30_18-13-38,0.05841946601867676,7.61322021484375,126184,V100,10.20.36.87,7.61322021484375,100,16,0.01,32,512,e3b57_00047
0.14487400544541224,0.91875,0.5359582901000977,0.78,0.7570859591166178,0.7598870056497176,40,1714468416,,,True,100,e3b57_00012,2024-04-30_18-13-36,0.022578954696655273,4.855608940124512,124706,V100,10.20.36.87,4.855608940124512,100,16,0.001,128,256,e3b57_00012
0.010573514898379262,0.9975,0.42909736558794975,0.78,1.1098141173521678,0.7542372881355932,15,1714468416,,,True,100,e3b57_00035,2024-04-30_18-13-36,0.03717756271362305,5.987797260284424,125551,V100,10.20.36.87,5.987797260284424,100,128,0.001,64,256,e3b57_00035
0.24704514533281327,0.88375,0.5078622263211471,0.77,0.5869933872119241,0.7457627118644068,73,1714468422,,,True,100,e3b57_00005,2024-04-30_18-13-42,0.08283448219299316,11.801517009735107,124665,V100,10.20.36.87,11.801517009735107,100,8,0.0001,16,512,e3b57_00005
0.021052259552691664,0.99625,0.536693885922432,0.77,0.8981101314226786,0.7542372881355932,28,1714468417,,,True,100,e3b57_00019,2024-04-30_18-13-37,0.03263521194458008,5.211951971054077,124903,V100,10.20.36.87,5.211951971054077,100,256,0.001,128,128,e3b57_00019
0.015178803767776116,0.9925,0.5147120906756475,0.77,1.3482956003559672,0.7768361581920904,3,1714468421,,,True,100,e3b57_00039,2024-04-30_18-13-41,0.08464288711547852,12.363175630569458,125831,V100,10.20.36.87,12.363175630569458,100,64,0.001,16,512,e3b57_00039
0.15811306424438953,0.92,0.4496112076135782,0.77,1.1651970967650414,0.7711864406779662,20,1714468422,,,True,100,e3b57_00038,2024-04-30_18-13-42,0.08884334564208984,11.752618789672852,125711,V100,10.20.36.87,11.752618789672852,100,8,0.001,16,512,e3b57_00038
0.014439953811233863,0.9975,0.5080885589122772,0.765,1.8428130149841309,0.7768361581920904,1,1714468416,,,True,100,e3b57_00026,2024-04-30_18-13-36,0.045856475830078125,5.968362331390381,125325,V100,10.20.36.87,5.968362331390381,100,256,0.01,128,512,e3b57_00026
0.03170275946613401,0.98875,0.52667403450379,0.755,1.4035501000673876,0.751412429378531,3,1714468420,,,True,80,e3b57_00013,2024-04-30_18-13-40,0.10211324691772461,12.155044555664062,124708,V100,10.20.36.87,12.155044555664062,80,128,0.001,16,512,e3b57_00013
0.17431649565696716,0.9325,0.527284562587738,0.75,0.6298928260803223,0.7288135593220338,67,1714468416,,,True,100,e3b57_00040,2024-04-30_18-13-36,0.02196478843688965,4.688279390335083,125981,V100,10.20.36.87,4.688279390335083,100,32,0.001,128,128,e3b57_00040
0.07516538192118917,0.96,0.5952475368976593,0.75,1.186837633450826,0.7344632768361582,11,1714468415,,,True,100,e3b57_00010,2024-04-30_18-13-35,0.03295159339904785,4.980652332305908,124692,V100,10.20.36.87,4.980652332305908,100,32,0.01,128,128,e3b57_00010
0.024167135623948916,0.99625,0.565442755818367,0.745,0.9418102502822876,0.7598870056497176,19,1714468415,,,True,100,e3b57_00023,2024-04-30_18-13-35,0.027136564254760742,4.991167783737183,124974,V100,10.20.36.87,4.991167783737183,100,64,0.001,128,256,e3b57_00023
0.019169435934880033,0.99625,0.5982574746012688,0.74,1.5639553765455882,0.7740112994350282,1,1714468416,,,True,80,e3b57_00042,2024-04-30_18-13-36,0.04262089729309082,6.124225616455078,125896,V100,10.20.36.87,6.124225616455078,80,128,0.01,64,512,e3b57_00042
0.04519952718168497,0.9875,0.56965642954622,0.74,0.7965814650912458,0.7457627118644068,17,1714468417,,,True,80,e3b57_00043,2024-04-30_18-13-37,0.05404400825500488,7.133458375930786,125883,V100,10.20.36.87,7.133458375930786,80,128,0.001,32,128,e3b57_00043
0.31873654782772065,0.88875,0.5566487397466388,0.73,0.5171524807810783,0.7429378531073446,38,1714468415,,,True,40,e3b57_00030,2024-04-30_18-13-35,0.07425332069396973,4.991814613342285,125525,V100,10.20.36.87,4.991814613342285,40,128,0.0001,32,256,e3b57_00030
0.13506081299139902,0.93875,0.4564485680311918,0.73,1.084618757168452,0.7429378531073446,23,1714468416,,,True,80,e3b57_00044,2024-04-30_18-13-36,0.03153276443481445,4.967817783355713,126058,V100,10.20.36.87,4.967817783355713,80,8,0.001,64,512,e3b57_00044
0.5047806870937347,0.75375,0.5462007650307247,0.725,0.5989917665719986,0.6638418079096046,78,1714468417,,,True,80,e3b57_00020,2024-04-30_18-13-37,0.04954171180725098,6.5823986530303955,125082,V100,10.20.36.87,6.5823986530303955,80,32,0.0001,32,128,e3b57_00020
